ticker,fiscal_quarter,eps_beat,next_quarter_estimated,next_quarter_actual
STT,2017-Q2,1,1.61,1.71
STT,2017-Q3,1,1.71,1.83
STT,2017-Q4,1,1.58,1.62
STT,2018-Q1,1,2.01,2.05
STT,2018-Q2,0,1.88,1.87
STT,2018-Q3,1,1.67,1.68
STT,2018-Q4,1,1.19,1.24
STT,2019-Q1,1,1.4,1.45
STT,2019-Q2,1,1.39,1.51
STT,2019-Q3,1,1.7,1.98
STT,2019-Q4,1,1.35,1.67
STT,2020-Q1,1,1.63,1.88
STT,2020-Q2,1,1.42,1.45
STT,2020-Q3,1,1.57,1.69
STT,2020-Q4,1,1.34,1.47
STT,2021-Q1,1,1.78,1.97
STT,2021-Q2,1,1.92,2.0
STT,2021-Q3,1,1.91,2.0
STT,2021-Q4,1,1.47,1.59
STT,2022-Q1,1,1.76,1.94
STT,2022-Q2,1,1.79,1.82
STT,2022-Q3,1,2.0,2.07
STT,2022-Q4,0,1.62,1.52
STT,2023-Q1,1,2.08,2.17
STT,2023-Q2,1,1.77,1.93
STT,2023-Q3,1,1.81,2.04
STT,2023-Q4,1,1.48,1.69
STT,2024-Q1,1,2.01,2.15
STT,2024-Q2,1,2.08,2.26
STT,2024-Q3,1,2.42,2.6
STT,2024-Q4,1,1.98,2.04
STT,2025-Q1,1,2.36,2.53
STT,2025-Q2,1,2.62,2.78
STT,2025-Q3,1,2.82,2.97
TSM,2014-Q4,0,0.48,0.48
TSM,2015-Q1,1,0.37,0.5
TSM,2015-Q2,1,0.45,0.46
TSM,2015-Q3,1,0.4,0.43
TSM,2015-Q4,1,0.37,0.38
TSM,2016-Q1,1,0.42,0.43
TSM,2016-Q3,1,0.58,0.61
TSM,2016-Q4,1,0.53,0.54
TSM,2017-Q1,0,0.56,0.42
TSM,2017-Q2,1,0.56,0.57
TSM,2017-Q3,1,0.63,0.64
TSM,2017-Q4,0,0.6,0.59
TSM,2018-Q1,1,0.45,0.47
TSM,2018-Q3,0,0.63,0.63
TSM,2018-Q4,0,0.38,0.38
TSM,2019-Q1,0,0.42,0.41
TSM,2019-Q3,1,0.72,0.73
TSM,2019-Q4,1,0.66,0.75
TSM,2020-Q1,1,0.73,0.78
TSM,2020-Q2,0,0.92,0.9
TSM,2020-Q3,1,0.92,0.97
TSM,2020-Q4,1,0.91,0.96
TSM,2021-Q1,1,0.89,0.93
TSM,2021-Q2,1,1.05,1.08
TSM,2021-Q3,1,1.12,1.15
TSM,2021-Q4,1,1.31,1.4
TSM,2022-Q1,1,1.5,1.55
TSM,2022-Q2,1,1.69,1.79
TSM,2022-Q3,1,1.8,1.82
TSM,2022-Q4,1,1.21,1.31
TSM,2023-Q1,1,1.07,1.14
TSM,2023-Q2,1,1.16,1.29
TSM,2023-Q3,1,1.37,1.44
TSM,2023-Q4,1,1.29,1.38
TSM,2024-Q1,1,1.37,1.48
TSM,2024-Q2,1,1.74,1.94
TSM,2024-Q3,1,2.16,2.24
TSM,2024-Q4,1,2.03,2.12
TSM,2025-Q1,1,2.37,2.47
TSM,2025-Q2,1,2.59,2.92
TSM,2025-Q3,1,2.82,3.14
WFC,2014-Q4,1,0.98,1.04
WFC,2015-Q1,0,1.04,1.03
WFC,2015-Q2,1,1.04,1.05
WFC,2015-Q3,1,1.02,1.03
WFC,2015-Q4,1,0.98,0.99
WFC,2016-Q1,0,1.02,1.01
