Earnings Date,EPS Estimate,Reported EPS,fiscal_quarter_end,estimated_eps,actual_eps,fiscal_quarter,ticker
2004-07-22 20:00:00,0.24,0.25,2004-07-22,0.24,0.25,2004-Q3,MSFT
2004-10-21 20:00:00,0.25,0.27,2004-10-21,0.25,0.27,2004-Q4,MSFT
2005-01-27 21:00:00,0.29,0.32,2005-01-27,0.29,0.32,2005-Q1,MSFT
2005-04-28 20:00:00,0.28,0.23,2005-04-28,0.28,0.23,2005-Q2,MSFT
2005-07-21 20:00:00,0.28,0.34,2005-07-21,0.28,0.34,2005-Q3,MSFT
2005-10-27 20:00:00,0.3,0.31,2005-10-27,0.3,0.31,2005-Q4,MSFT
2006-01-26 21:00:00,0.33,0.33,2006-01-26,0.33,0.33,2006-Q1,MSFT
2006-04-27 20:00:00,0.33,0.29,2006-04-27,0.33,0.29,2006-Q2,MSFT
2006-07-20 20:00:00,0.31,0.28,2006-07-20,0.31,0.28,2006-Q3,MSFT
2006-10-26 20:00:00,0.31,0.35,2006-10-26,0.31,0.35,2006-Q4,MSFT
2007-01-25 21:00:00,0.23,0.26,2007-01-25,0.23,0.26,2007-Q1,MSFT
2007-04-26 20:00:00,0.46,0.5,2007-04-26,0.46,0.5,2007-Q2,MSFT
2007-07-19 20:00:00,0.33,0.31,2007-07-19,0.33,0.31,2007-Q3,MSFT
2007-10-25 20:00:00,0.39,0.45,2007-10-25,0.39,0.45,2007-Q4,MSFT
2008-01-24 21:00:00,0.46,0.5,2008-01-24,0.46,0.5,2008-Q1,MSFT
2008-04-24 20:00:00,0.44,0.47,2008-04-24,0.44,0.47,2008-Q2,MSFT
2008-07-17 20:00:00,0.47,0.46,2008-07-17,0.47,0.46,2008-Q3,MSFT
2008-10-23 20:00:00,0.47,0.48,2008-10-23,0.47,0.48,2008-Q4,MSFT
2009-01-22 14:00:00,0.49,0.47,2009-01-22,0.49,0.47,2009-Q1,MSFT
2009-04-23 20:00:00,0.39,0.33,2009-04-23,0.39,0.33,2009-Q2,MSFT
2010-04-19 04:00:00,0.6,0.74,2010-04-19,0.6,0.74,2010-Q2,MSFT
2010-04-19 04:00:00,0.37,0.34,2010-04-19,0.37,0.34,2010-Q2,MSFT
2010-04-19 04:00:00,0.31,0.4,2010-04-19,0.31,0.4,2010-Q2,MSFT
2010-04-22 19:00:00,0.42,0.45,2010-04-22,0.42,0.45,2010-Q2,MSFT
2010-07-22 20:00:00,0.47,0.51,2010-07-22,0.47,0.51,2010-Q3,MSFT
2010-10-28 20:00:00,0.55,0.62,2010-10-28,0.55,0.62,2010-Q4,MSFT
2011-01-28 00:00:00,0.69,0.77,2011-01-28,0.69,0.77,2011-Q1,MSFT
2011-04-28 20:00:00,0.55,0.61,2011-04-28,0.55,0.61,2011-Q2,MSFT
2011-07-21 20:00:00,0.58,0.69,2011-07-21,0.58,0.69,2011-Q3,MSFT
2011-10-20 20:00:00,0.68,0.68,2011-10-20,0.68,0.68,2011-Q4,MSFT
